,EmployeeID,Predicted_Probability,Prediction,Attrition_numeric
0,1,0.9035599792688481,True,1.0
1,2,0.002618901186946208,False,0.0
2,4,0.8550587746873701,True,1.0
3,5,0.0338611439513627,False,0.0
4,7,0.0777849056366786,False,0.0
5,8,0.002012624482730366,False,0.0
6,10,0.17194176741425882,False,0.0
7,11,0.04835251128067699,False,0.0
8,12,0.006687942364563745,False,0.0
9,13,0.008750575502441477,False,0.0
10,14,0.026312066889439746,False,0.0
11,15,0.006109363333375067,False,0.0
12,16,0.00249353409680502,False,0.0
13,18,0.005607796565761033,False,0.0
14,19,0.9951576844864215,True,1.0
15,20,0.01472934695310705,False,0.0
16,21,0.008941844510823197,False,0.0
17,22,0.09442126123409504,False,0.0
18,23,0.0111070090797434,False,0.0
19,24,0.010969775254835093,False,0.0
20,26,0.002165880213749106,False,0.0
21,27,0.006381377338105004,False,1.0
22,28,0.005544227210182871,False,0.0
23,30,0.02494708888048268,False,0.0
24,31,0.7545788224039942,True,1.0
25,32,0.0015978578216343175,False,0.0
26,33,0.975652542726873,True,1.0
27,35,0.0053619201208938705,False,0.0
28,36,0.018933608179642406,False,0.0
29,38,0.004071494681790122,False,0.0
30,39,0.047920031672887664,False,0.0
31,40,0.006856858874512096,False,0.0
32,41,0.021943336262330033,False,0.0
33,42,0.8919114534831369,True,1.0
34,45,0.8984710402778753,True,1.0
35,46,0.00046184623049307257,False,0.0
36,47,0.9011990144521385,True,1.0
37,49,0.0079681768705327,False,0.0
38,51,0.044310022435005654,False,0.0
39,52,0.002682374221783942,False,0.0
40,53,0.005808613003581633,False,0.0
41,54,0.021356205660688823,False,0.0
42,55,0.9629553207240232,True,1.0
43,56,0.013253820641577405,False,0.0
44,57,0.00906138216687009,False,0.0
45,58,0.0016984885995029527,False,1.0
46,60,0.025311234261721185,False,0.0
47,61,0.007524482559355331,False,0.0
48,62,0.1006910838678146,False,0.0
49,63,0.0008173409186645228,False,0.0
50,64,0.906646752377582,True,1.0
51,65,0.9204881140106467,True,1.0
52,68,0.0333979010486299,False,0.0
53,70,0.02338442429873603,False,0.0
54,72,0.0789399512854855,False,0.0
55,73,0.008585653818949934,False,0.0
56,74,0.05641380966863909,False,0.0
57,75,0.08955603104341257,False,0.0
58,76,0.004189325357950576,False,0.0
59,77,0.0010389683121577846,False,0.0
60,78,0.03189641855618174,False,0.0
61,79,0.017283294359356872,False,0.0
62,80,0.01340183963307321,False,0.0
63,81,0.034043502777469994,False,0.0
64,83,0.0016677182414545151,False,0.0
65,84,0.0010388106915015874,False,0.0
66,85,0.006505465841422111,False,0.0
67,86,0.005728170248213141,False,0.0
68,88,0.013159872453031563,False,0.0
69,90,0.935437843831047,True,1.0
70,91,0.01443836265315911,False,0.0
71,94,0.0002529093971447988,False,0.0
72,95,0.10085825149490402,False,0.0
73,96,0.000980246680646262,False,0.0
74,97,0.00019509209774775985,False,0.0
75,98,0.004230051549577445,False,0.0
76,100,0.0034820791043414226,False,0.0
77,101,0.0026358784160596315,False,0.0
78,102,0.0018210847851695558,False,0.0
79,103,0.045376712319982006,False,0.0
80,104,0.047923504504699725,False,0.0
81,105,0.010496069909218001,False,0.0
82,106,0.04878569755801137,False,0.0
83,107,0.0012776530243076754,False,0.0
84,110,0.009600845503641736,False,0.0
85,112,0.014189365570916409,False,0.0
86,113,0.09040022693630091,False,0.0
87,116,0.0028503690751357333,False,0.0
88,117,0.0016181187529263222,False,0.0
89,118,0.800867159271134,True,1.0
90,119,0.0028194787822636677,False,0.0
91,120,0.07286583758700545,False,0.0
92,121,0.0174382507547067,False,0.0
93,124,0.005332738081931418,False,0.0
94,125,0.10656919478850858,False,0.0
95,126,0.010704534474394112,False,0.0
96,128,0.011191600746784524,False,0.0
97,129,0.002034024069356745,False,0.0
98,131,0.0032161698747749656,False,0.0
99,132,0.016745165074287437,False,0.0
100,133,0.9417884607219941,True,1.0
101,134,0.06770551909267826,False,0.0
102,137,0.9544824337612555,True,1.0
103,138,0.002541176716946512,False,0.0
104,139,0.0012029517375878845,False,0.0
105,140,0.00017676591481707561,False,0.0
106,141,0.004187624947266991,False,0.0
107,142,0.8803477181806572,True,1.0
108,143,0.005553691252582781,False,0.0
109,144,0.07499154207297505,False,0.0
110,145,0.008679459846559597,False,0.0
111,147,0.254493125353512,False,1.0
112,148,0.010209872754704575,False,0.0
113,150,0.0030021385416147597,False,0.0
114,151,0.005269659285841908,False,0.0
115,152,0.005140442466565633,False,0.0
116,153,0.0006874137532197119,False,0.0
117,154,0.016207011646985642,False,0.0
118,155,0.03044716278801985,False,0.0
119,158,0.0012550476876405088,False,0.0
120,159,0.01664032298628613,False,0.0
121,160,0.0056371834532507265,False,0.0
122,161,0.21313852312505613,False,1.0
123,162,0.004964356887249129,False,0.0
124,163,0.8770759343735319,True,1.0
125,164,0.0011246396025159312,False,0.0
126,165,0.9889555130589789,True,1.0
127,167,0.9995285419413841,True,1.0
128,169,0.0017249218222600683,False,0.0
129,170,0.007391550010847471,False,0.0
130,171,0.042965428872106075,False,0.0
131,174,0.04860026715934169,False,0.0
132,175,0.3348949763690174,False,1.0
133,176,0.016632430945988878,False,0.0
134,177,0.00922889110033333,False,0.0
135,178,0.01506299359944967,False,0.0
136,179,0.8453461351789784,True,1.0
137,182,0.0014007738905420595,False,0.0
138,183,0.03378197218463611,False,0.0
139,184,0.009720979452589791,False,0.0
140,190,0.9494542511082665,True,1.0
